name,value
,
Germany.DEG0.GRSLND.Area,0.001
Germany.DEG0.GRSLND.HiSol_CO2,1.028
Germany.DEG0.GRSLND.HiSol_N2O,3.298
,
Germany.DEG0.CrpLnd.Area,0.001
Germany.DEG0.CrpLnd.HiSol_CO2,16.9
Germany.DEG0.CrpLnd.HiSol_N2O,3.085
,
Greece.GR11.CrpLnd.Area,7.102
Greece.GR11.CrpLnd.HiSol_CO2,36.787
Greece.GR11.CrpLnd.HiSol_N2O,3.565
,
Greece.GR12.CrpLnd.Area,20.441
Greece.GR12.CrpLnd.HiSol_CO2,36.788
Greece.GR12.CrpLnd.HiSol_N2O,3.565
,
Greece.GR13.CrpLnd.Area,0.898
Greece.GR13.CrpLnd.HiSol_CO2,36.785
Greece.GR13.CrpLnd.HiSol_N2O,3.563
,
Greece.GR14.CrpLnd.Area,2.379
Greece.GR14.CrpLnd.HiSol_CO2,36.79
Greece.GR14.CrpLnd.HiSol_N2O,3.565
,
Greece.GR21.CrpLnd.Area,1.607
Greece.GR21.CrpLnd.HiSol_CO2,36.787
Greece.GR21.CrpLnd.HiSol_N2O,3.565
,
Greece.GR22.CrpLnd.Area,0.738
Greece.GR22.CrpLnd.HiSol_CO2,36.789
Greece.GR22.CrpLnd.HiSol_N2O,3.565
,
Greece.GR23.CrpLnd.Area,3.433
